Index,Sample No,Net Confining Stress (psi),Net Overburden pressure (psi),Bulk Volume (cc),Pore Volume (cc),Porosity,Identical Porosity values,Frequency of porosity values,Relative Porosity (phi / phi ambient),"Air Permability (md), Kair@323 (K)","Klinkenberg Permeability, KL (mD)","Relative Permeability, Kp/K@323 psi (fraction)","Pore Volume Compressibility *1e-06, (psi) -1",RQI,Log (RQI),Phi z,Log (Phi z),FZI,GHE,DRT,Log R35,R35,log fzi,Identical Log (FZI) Values,Abs(Log FZI),Indentical Sum(log(FZI)),Identical Cumulative Frequency,Non Identical Sum(log(FZI)),Non Identical Cumulative Frequency,Identical Frequency,Rock Type
1,47V,6000,9677,56.1822,6.4611,0.115,0.115,2,0.862,0.003,0.001,0.036,18.3,0.005071558,-2.294858645,0.129943503,-0.88624543,0.039028943,0.003,4,0.060104364,1.148429563,-1.40861,-1.408613214,1.40861,-1.40861,-0.01619,-1.40861,-0.006232802,1.13636,0
2,47V,6000,9677,56.1822,6.4611,0.115,0.1174,2,0.862,0.003,0.001,0.036,18.3,0.005071558,-2.294858645,0.129943503,-0.88624543,0.039028943,0.003,4,0.060104364,1.148429563,-1.40861,-1.360778579,1.40861,-2.76939,-0.0322,-2.81723,-0.012521006,2.27273,0
3,47V,4800,7742,56.3372,6.6161,0.1174,0.1204,2,0.88,0.004,0.001,0.05,21.36,0.005795963,-2.236874405,0.133016089,-0.876095826,0.043573397,0.004,4,0.125818039,1.336035627,-1.36078,-1.257175842,1.36078,-4.02657,-0.04737,-4.17801,-0.018651808,3.40909,0
4,47V,4800,7742,56.3372,6.6161,0.1174,0.1239,2,0.88,0.004,0.001,0.05,21.36,0.005795963,-2.236874405,0.133016089,-0.876095826,0.043573397,0.004,4,0.125818039,1.336035627,-1.36078,-1.17943,1.36078,-5.20599,-0.06198,-5.53878,-0.024837595,4.54545,0
5,47V,3600,5806,56.5242,6.8031,0.1204,0.1282,2,0.902,0.007,0.002,0.076,25.21,0.007571212,-2.120834575,0.1368804,-0.863658734,0.055312611,0.007,5,0.259256363,1.816587673,-1.25718,-1.085108725,1.25718,-6.2911,-0.0758,-6.79596,-0.03061243,5.68182,0
6,47V,3600,5806,56.5242,6.8031,0.1204,0.1298,2,0.902,0.007,0.002,0.076,25.21,0.007571212,-2.120834575,0.1368804,-0.863658734,0.055312611,0.007,5,0.259256363,1.816587673,-1.25718,-1.0525,1.25718,-7.3436,-0.08956,-8.05314,-0.036439526,6.81818,0
7,47V,2400,3871,56.7522,7.0311,0.1239,0.1846,2,0.929,0.011,0.004,0.123,29.86,0.009356003,-2.028909663,0.141422212,-0.849482374,0.066156529,0.011,5,0.36392529,2.31166709,-1.17943,-0.98253,1.17943,-8.32613,-0.10279,-9.23256,-0.041966193,7.95455,0
8,47V,2400,3871,56.7522,7.0311,0.1239,0.1853,2,0.929,0.011,0.004,0.123,29.86,0.009356003,-2.028909663,0.141422212,-0.849482374,0.066156529,0.011,5,0.36392529,2.31166709,-1.17943,-0.914704519,1.17943,-9.24084,-0.11551,-10.41199,-0.047543333,9.09091,0
9,47V,1200,1935,57.0322,7.3111,0.1282,0.1861,2,0.961,0.019,0.008,0.219,35.35,0.012088222,-1.917637564,0.147052076,-0.832528839,0.082203683,0.019,6,0.490691864,3.095222428,-1.08511,-0.819105935,1.08511,-10.05994,-0.12734,-11.4971,-0.052738984,10.22727,0
10,47V,1200,1935,57.0322,7.3111,0.1282,0.1334,1,0.961,0.019,0.008,0.219,35.35,0.012088222,-1.917637564,0.147052076,-0.832528839,0.082203683,0.019,6,0.490691864,3.095222428,-1.08511,-0.784376692,1.08511,-10.84432,-0.13903,-12.58221,-0.057982522,11.36364,0
11,47V,800,1290,57.1392,7.4181,0.1298,0.1385,2,0.973,0.023,0.01,0.271,37.37,0.01321771,-1.87884378,0.149161112,-0.826344386,0.088613646,0.023,6,0.534826633,3.426309838,-1.0525,-0.745334858,1.0525,-11.58966,-0.15052,-13.63471,-0.063123642,12.5,0
12,47V,800,1290,57.1392,7.4181,0.1298,0.1391,2,0.973,0.023,0.01,0.271,37.37,0.01321771,-1.87884378,0.149161112,-0.826344386,0.088613646,0.023,6,0.534826633,3.426309838,-1.0525,-0.726414782,1.0525,-12.31607,-0.16205,-14.68721,-0.068312586,13.63636,0
13,47H,6000,9677,56.5977,10.4497,0.1846,0.1875,2,0.949,0.104,0.049,0.078,2.88,0.02356842,-1.627669531,0.226391955,-0.64513901,0.104104495,0.104,6,0.787991418,6.137498763,-0.98253,-0.701600813,0.98253,-13.01767,-0.17357,-15.66974,-0.073223068,14.77273,0
14,47H,6000,9677,56.5977,10.4497,0.1846,0.1398,2,0.949,0.104,0.049,0.078,2.88,0.02356842,-1.627669531,0.226391955,-0.64513901,0.104104495,0.104,6,0.787991418,6.137498763,-0.98253,-0.648074329,0.98253,-13.66575,-0.18467,-16.65227,-0.078179658,15.90909,0
15,47H,4800,7742,56.6417,10.4937,0.1853,0.1406,4,0.952,0.144,0.074,0.107,4.05,0.027680452,-1.557826816,0.227445686,-0.643122297,0.121701374,0.144,6,0.869672783,7.407519153,-0.9147,-0.647332024,0.9147,-14.31308,-0.19607,-17.56697,-0.082863074,17.04545,0
16,47H,4800,7742,56.6417,10.4937,0.1853,0.1899,2,0.952,0.144,0.074,0.107,4.05,0.027680452,-1.557826816,0.227445686,-0.643122297,0.121701374,0.144,6,0.869672783,7.407519153,-0.9147,-0.600568854,0.9147,-14.91365,-0.20713,-18.48168,-0.087590882,18.18182,0
17,47H,3600,5806,56.7017,10.5537,0.1861,0.1912,2,0.956,0.227,0.121,0.169,5.63,0.034679226,-1.45993061,0.228652169,-0.640824675,0.151668037,0.227,7,0.984282338,9.644558188,-0.81911,-0.582928791,0.81911,-15.49658,-0.21826,-19.30078,-0.091908486,19.31818,0
18,47H,3600,5806,56.7017,10.5537,0.1861,0.1418,2,0.956,0.227,0.121,0.169,5.63,0.034679226,-1.45993061,0.228652169,-0.640824675,0.151668037,0.227,7,0.984282338,9.644558188,-0.81911,-0.559329249,0.81911,-16.0559,-0.22937,-20.11989,-0.096267407,20.45455,0
19,47V,Ambient,Ambient,57.3769,7.6558,0.1334,0.1424,2,1,0.086,-,1,-,0.025211632,-1.598399041,0.153934918,-0.812662855,0.163781111,0.086,7,0.861350453,7.266921228,-0.78574,-0.526582766,0.78574,-16.58249,-0.24033,-20.90562,-0.100507809,21.59091,0
20,31H,6000,9677,56.8822,7.8797,0.1385,0.0793,1,0.964,0.098,0.047,0.269,3.86,0.026413004,-1.578182201,0.160766106,-0.793805508,0.164294607,0.098,7,0.880628328,7.596758637,-0.78438,-0.464286938,0.78438,-17.04677,-0.25069,-21.69,-0.104782613,22.72727,0
21,31H,6000,9677,56.8822,7.8797,0.1385,0.1438,2,0.964,0.098,0.047,0.269,3.86,0.026413004,-1.578182201,0.160766106,-0.793805508,0.164294607,0.098,7,0.880628328,7.596758637,-0.78438,-0.454991169,0.78438,-17.50177,-0.26122,-22.47438,-0.10909892,23.86364,0
22,31H,4800,7742,56.9212,7.9187,0.1391,0.1947,1,0.968,0.119,0.061,0.327,4.26,0.029042872,-1.536960436,0.161575096,-0.791625578,0.179748445,0.119,7,0.928586973,8.48373263,-0.74533,-0.446987937,0.74533,-17.94875,-0.27195,-23.21971,-0.11326689,25,0
23,31H,4800,7742,56.9212,7.9187,0.1391,0.0959,2,0.968,0.119,0.061,0.327,4.26,0.029042872,-1.536960436,0.161575096,-0.791625578,0.179748445,0.119,7,0.928586973,8.48373263,-0.74533,-0.436618409,0.74533,-18.38537,-0.28285,-23.96505,-0.117475722,26.13636,0
