Porosity,Permeability,Log(RQI),Log(Phi z),Cluster
0.115,0.003,-5.284414461,-2.040682474,6
0.115,0.003,-5.284414461,-2.040682474,6
0.1174,0.004,-5.149897361,-2.017255786,6
0.1174,0.004,-5.149897361,-2.017255786,6
0.1204,0.007,-4.883562212,-1.988650649,6
0.1204,0.007,-4.883562212,-1.988650649,6
0.1239,0.011,-4.671309988,-1.956021093,6
0.1239,0.011,-4.671309988,-1.956021093,6
0.1282,0.019,-4.415376614,-1.916982614,6
0.1282,0.019,-4.415376614,-1.916982614,6
0.1298,0.023,-4.326024445,-1.902735724,6
0.1298,0.023,-4.326024445,-1.902735724,6
0.1846,0.104,-3.747780562,-1.485496103,6
0.1846,0.104,-3.747780562,-1.485496103,6
0.1853,0.144,-3.587045148,-1.480824845,6
0.1853,0.144,-3.587045148,-1.480824845,6
0.1861,0.227,-3.361592127,-1.475562829,6
0.1861,0.227,-3.361592127,-1.475562829,6
0.1334,0.086,-3.680514538,-1.871257325,6
0.1385,0.098,-3.634012553,-1.827780507,6
0.1385,0.098,-3.634012553,-1.827780507,6
0.1391,0.119,-3.539081089,-1.822754903,6
0.1391,0.119,-3.539081089,-1.822754903,6
0.1875,0.357,-3.138910043,-1.466333735,6
0.1875,0.357,-3.138910043,-1.466333735,6
0.1398,0.148,-3.432378499,-1.816954208,6
0.1398,0.148,-3.432378499,-1.816954208,6
0.1406,0.165,-3.380806692,-1.810330855,6
0.1406,0.193,-3.30252921,-1.810330855,6
0.1406,0.193,-3.30252921,-1.810330855,6
0.1899,0.537,-2.941244088,-1.450640901,0
0.1899,0.537,-2.941244088,-1.450640901,0
0.1912,0.682,-2.825145973,-1.442229993,0
0.1912,0.682,-2.825145973,-1.442229993,0
0.1418,0.268,-3.142609469,-1.800416836,6
0.1418,0.268,-3.142609469,-1.800416836,6
0.1424,0.303,-3.083471188,-1.795526556,6
0.1424,0.303,-3.083471188,-1.795526556,6
0.0793,0.051,-3.68170525,-2.451897496,6
0.1438,0.364,-2.996532594,-1.784088963,6
0.1438,0.364,-2.996532594,-1.784088963,6
0.1947,1.34,-2.49641259,-1.419768418,8
0.0959,0.129,-3.312637205,-2.243656025,6
0.0959,0.129,-3.312637205,-2.243656025,6
0.0962,0.136,-3.287957986,-2.240173833,6
0.0962,0.136,-3.287957986,-2.240173833,6
0.0966,0.143,-3.264919763,-2.235580864,6
0.0966,0.143,-3.264919763,-2.235580864,6
0.097,0.152,-3.23627634,-2.231008895,6
0.097,0.152,-3.23627634,-2.231008895,6
0.0977,0.161,-3.211155702,-2.223034814,6
0.0977,0.161,-3.211155702,-2.223034814,6
0.0981,0.165,-3.201035907,-2.218519718,6
0.0981,0.165,-3.201035907,-2.218519718,6
0.0989,0.17,-3.190045443,-2.209550227,6
0.0989,0.17,-3.190045443,-2.209550227,6
0.2561,4.58,-2.018986346,-1.066329046,2
0.2561,4.58,-2.018986346,-1.066329046,2
0.2561,4.58,-2.018986346,-1.066329046,2
0.2569,4.66,-2.011932437,-1.062155006,2
0.2569,4.66,-2.011932437,-1.062155006,2
0.2569,4.66,-2.011932437,-1.062155006,2
0.2578,4.78,-2.000926154,-1.057422362,2
0.2578,4.78,-2.000926154,-1.057422362,2
0.2578,4.78,-2.000926154,-1.057422362,2
0.2592,4.98,-1.983186354,-1.05013646,2
0.2592,4.98,-1.983186354,-1.05013646,2
0.2592,4.98,-1.983186354,-1.05013646,2
0.2663,5.62,-1.936207374,-1.013490195,4
0.2663,5.62,-1.936207374,-1.013490195,4
0.2617,5.31,-1.95587968,-1.037159774,2
0.2617,5.31,-1.95587968,-1.037159774,2
0.2617,5.31,-1.95587968,-1.037159774,2
0.263,5.42,-1.948132617,-1.030439754,4
0.263,5.42,-1.948132617,-1.030439754,4
0.263,5.42,-1.948132617,-1.030439754,4
0.1033,0.242,-3.035305049,-2.161085531,6
0.1033,0.242,-3.035305049,-2.161085531,6
0.1037,0.248,-3.024955132,-2.156754645,6
0.1037,0.248,-3.024955132,-2.156754645,6
0.1042,0.262,-2.999941118,-2.151410265,6
0.1042,0.262,-2.999941118,-2.151410265,6
0.1049,0.295,-2.943899125,-2.14395873,6
0.1049,0.295,-2.943899125,-2.14395873,6
0.1342,0.694,-2.639317363,-1.864330162,0
0.1342,0.694,-2.639317363,-1.864330162,0
0.0667,0.077,-3.389071202,-2.638477498,6
0.0667,0.077,-3.389071202,-2.638477498,6
